Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,1.0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,0.0972222,11.7361,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,N/A,N/A,N/A,N/A,N/A
12,0.115741,10.6111,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A
12 13,0.0225051,22.0659,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,13,N/A,N/A,N/A,N/A,N/A
11,0.125,9.625,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11 13,0.0243056,21.0694,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,N/A,13,N/A,N/A,N/A,N/A,N/A
11 12,0.0289352,19.9034,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,12,N/A,N/A,N/A,N/A,N/A,N/A
11 12 13,0.00843943,30.9652,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,12,13,N/A,N/A,N/A,N/A,N/A
10,0.125,8.75,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10 13,0.0243056,20.2066,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,13,N/A,N/A,N/A,N/A,N/A
10 12,0.0289352,19.0428,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A
10 12 13,0.00843943,30.1196,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,12,13,N/A,N/A,N/A,N/A,N/A
10 11,0.03125,18.0469,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10 11 13,0.00911458,29.1085,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,N/A,13,N/A,N/A,N/A,N/A,N/A
10 11 12,0.0108507,27.8876,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,12,N/A,N/A,N/A,N/A,N/A,N/A
10 11 12 13,0.00421971,38.4196,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,12,13,N/A,N/A,N/A,N/A,N/A
9,0.115741,7.95833,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9 13,0.0225051,19.4469,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,13,N/A,N/A,N/A,N/A,N/A
9 12,0.0267918,18.2881,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A
9 12 13,0.00781429,29.4068,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,12,13,N/A,N/A,N/A,N/A,N/A
9 11,0.0289352,17.294,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9 11 13,0.00843943,28.398,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,11,N/A,13,N/A,N/A,N/A,N/A,N/A
9 11 12,0.0100469,27.1839,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,11,12,N/A,N/A,N/A,N/A,N/A,N/A
9 11 12 13,0.00390714,37.7728,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,11,12,13,N/A,N/A,N/A,N/A,N/A
9 10,0.0289352,16.4334,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
