Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12
1 6 9,0.0653292,11.3056,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,1 9,N/A,N/A
1 6 8,0.0835905,9.61111,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,N/A,N/A,N/A
6 9,0.0308642,12.9167,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,9,N/A,N/A,N/A
6 8,0.0385802,11.6389,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,8,N/A,N/A,N/A,N/A
1 6 8 9,0.0323645,16.3889,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,9,1 9,N/A,N/A
7 8 9,0.0154321,19.4722,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,N/A,N/A,N/A
1 6 7,0.0740741,9.83333,Yes,N/A,N/A,N/A,N/A,N/A,6,7,1 7,N/A,N/A,N/A,N/A
6 7,0.0462963,10.5556,Yes,N/A,N/A,N/A,N/A,N/A,6,7,N/A,N/A,N/A,N/A,N/A
1 6 7 9,0.0362654,15.1667,Yes,N/A,N/A,N/A,N/A,N/A,6,7,1 7,9,1 9,N/A,N/A
6 8 9,0.0128601,18.8889,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,8,9,N/A,N/A,N/A
1 6 7 8,0.0382587,15.1667,Yes,N/A,N/A,N/A,N/A,N/A,6,7,8,1 8,N/A,N/A,N/A
6 7 9,0.0154321,17.75,Yes,N/A,N/A,N/A,N/A,N/A,6,7,N/A,9,N/A,N/A,N/A
6 7 8,0.0192901,16.5556,Yes,N/A,N/A,N/A,N/A,N/A,6,7,8,N/A,N/A,N/A,N/A
1 6 7 8 9,0.0200046,21.4444,Yes,N/A,N/A,N/A,N/A,N/A,6,7,8,9,1 9,N/A,N/A
1 5,0.157407,4.5,Yes,N/A,N/A,N/A,N/A,5,1 5,N/A,N/A,N/A,N/A,N/A,N/A
5,0.111111,4.44444,Yes,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 5 9,0.0534979,11.1111,Yes,N/A,N/A,N/A,N/A,5,1 5,N/A,N/A,9,1 9,N/A,N/A
1 5 8,0.0684156,9.5,Yes,N/A,N/A,N/A,N/A,5,1 5,N/A,8,1 8,N/A,N/A,N/A
5 9,0.0246914,12.2222,Yes,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,9,N/A,N/A,N/A
5 8,0.0308642,10.9722,Yes,N/A,N/A,N/A,N/A,5,N/A,N/A,8,N/A,N/A,N/A,N/A
1 5 8 9,0.026406,16.4444,Yes,N/A,N/A,N/A,N/A,5,1 5,N/A,8,9,1 9,N/A,N/A
1 5 7,0.087963,7.88889,Yes,N/A,N/A,N/A,N/A,5,1 5,7,1 7,N/A,N/A,N/A,5 7
5 7,0.0648148,9.55556,Yes,N/A,N/A,N/A,N/A,5,N/A,7,N/A,N/A,N/A,N/A,5 7
1 5 7 9,0.0426955,13.1667,Yes,N/A,N/A,N/A,N/A,5,1 5,7,1 7,9,1 9,N/A,5 7
5 8 9,0.0102881,18.3889,Yes,N/A,N/A,N/A,N/A,5,N/A,N/A,8,9,N/A,N/A,N/A
1 5 7 8,0.0480967,12.9444,Yes,N/A,N/A,N/A,N/A,5,1 5,7,8,1 8,N/A,N/A,5 7
5 7 9,0.0185185,16.9167,Yes,N/A,N/A,N/A,N/A,5,N/A,7,N/A,9,N/A,N/A,5 7
5 7 8,0.0231481,15.5278,Yes,N/A,N/A,N/A,N/A,5,N/A,7,8,N/A,N/A,N/A,5 7
1 5 7 8 9,0.0238483,18.75,Yes,N/A,N/A,N/A,N/A,5,1 5,7,8,9,1 9,N/A,5 7
6 7 8 9,0.00857339,23.1111,Yes,N/A,N/A,N/A,N/A,N/A,6,7,8,9,N/A,N/A,N/A
1 5 6,0.0985082,7.66667,Yes,N/A,N/A,N/A,N/A,5,6,1 6,N/A,N/A,N/A,5 6,1 5 6
5 6,0.0864198,8.75,Yes,N/A,N/A,N/A,N/A,5,6,N/A,N/A,N/A,N/A,5 6,N/A
1 5 6 9,0.0456962,13.2778,Yes,N/A,N/A,N/A,N/A,5,6,1 6,N/A,9,1 9,5 6,1 5 6
1 5 6 8,0.0585348,11.2778,Yes,N/A,N/A,N/A,N/A,5,6,1 6,8,1 8,N/A,5 6,1 5 6
5 6 9,0.0226337,16,Yes,N/A,N/A,N/A,N/A,5,6,N/A,N/A,9,N/A,5 6,N/A
5 6 8,0.0282922,14.6111,Yes,N/A,N/A,N/A,N/A,5,6,N/A,8,N/A,N/A,5 6,N/A
1 5 6 8 9,0.0273015,17.1944,Yes,N/A,N/A,N/A,N/A,5,6,1 6,8,9,1 9,5 6,1 5 6
5 7 8 9,0.00943073,22.2778,Yes,N/A,N/A,N/A,N/A,5,N/A,7,8,9,N/A,N/A,5 7
1 5 6 7,0.0634002,11.5,Yes,N/A,N/A,N/A,N/A,5,6,7,1 7,N/A,N/A,5 6,5 7
5 6 7,0.0416667,13.1111,Yes,N/A,N/A,N/A,N/A,5,6,7,N/A,N/A,N/A,5 6,5 7
1 5 6 7 9,0.0366512,15.75,Yes,N/A,N/A,N/A,N/A,5,6,7,1 7,9,1 9,5 6,5 7
5 6 8 9,0.0108596,21.5,Yes,N/A,N/A,N/A,N/A,5,6,N/A,8,9,N/A,5 6,N/A
1 5 6 7 8,0.040002,15.75,Yes,N/A,N/A,N/A,N/A,5,6,7,8,1 8,N/A,5 6,5 7
5 6 7 9,0.0156036,19.7778,Yes,N/A,N/A,N/A,N/A,5,6,7,N/A,9,N/A,5 6,5 7
5 6 7 8,0.0195045,18.3611,Yes,N/A,N/A,N/A,N/A,5,6,7,8,N/A,N/A,5 6,5 7
1 5 6 7 8 9,0.0236308,20.3611,Yes,N/A,N/A,N/A,N/A,5,6,7,8,9,1 9,5 6,5 7
1 4,0.125,4.02778,Yes,N/A,N/A,N/A,4,1 4,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,0.0833333,3.66667,Yes,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 4 9,0.0416667,10.8056,Yes,N/A,N/A,N/A,4,1 4,N/A,N/A,N/A,9,1 9,N/A,N/A
1 4 8,0.0578704,8.91667,Yes,N/A,N/A,N/A,4,1 4,N/A,N/A,8,1 8,N/A,N/A,4 8
4 9,0.0185185,11.4722,Yes,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A
4 8,0.0509259,9.91667,Yes,N/A,N/A,N/A,4,N/A,N/A,N/A,8,N/A,N/A,N/A,4 8
1 4 8 9,0.026106,15.75,Yes,N/A,N/A,N/A,4,1 4,N/A,N/A,8,9,1 9,N/A,4 8
1 4 7,0.101852,7.05556,Yes,N/A,N/A,N/A,4,1 4,N/A,7,1 7,N/A,N/A,4 7,1 4 7
4 7,0.0833333,8.55556,Yes,N/A,N/A,N/A,4,N/A,N/A,7,N/A,N/A,N/A,4 7,N/A
1 4 7 9,0.0460391,12.3333,Yes,N/A,N/A,N/A,4,1 4,N/A,7,1 7,9,1 9,4 7,1 4 7
4 8 9,0.0138889,17.3333,Yes,N/A,N/A,N/A,4,N/A,N/A,N/A,8,9,N/A,N/A,4 8
1 4 7 8,0.0556199,12.0278,Yes,N/A,N/A,N/A,4,1 4,N/A,7,8,1 8,N/A,4 7,4 8
4 7 9,0.0216049,15.9167,Yes,N/A,N/A,N/A,4,N/A,N/A,7,N/A,9,N/A,4 7,N/A
4 7 8,0.0362654,14.1111,Yes,N/A,N/A,N/A,4,N/A,N/A,7,8,N/A,N/A,4 7,4 8
1 4 7 8 9,0.0279492,17.8056,Yes,N/A,N/A,N/A,4,1 4,N/A,7,8,9,1 9,4 7,4 8
1 4 6,0.131944,5.91667,Yes,N/A,N/A,N/A,4,1 4,6,1 6,N/A,N/A,4 6,1 4 6,N/A
4 6,0.106481,7.77778,Yes,N/A,N/A,N/A,4,N/A,6,N/A,N/A,N/A,4 6,N/A,N/A
1 4 6 9,0.0474537,12.0556,Yes,N/A,N/A,N/A,4,1 4,6,1 6,N/A,9,1 9,1 4 6,N/A
1 4 6 8,0.0821116,8.58333,Yes,N/A,N/A,N/A,4,1 4,6,1 6,8,1 8,4 6,1 4 6,4 8
4 6 9,0.0262346,15.0556,Yes,N/A,N/A,N/A,4,N/A,6,N/A,N/A,9,4 6,N/A,N/A
4 6 8,0.0405093,13.2778,Yes,N/A,N/A,N/A,4,N/A,6,N/A,8,N/A,4 6,N/A,4 8
1 4 6 8 9,0.032686,15.3056,Yes,N/A,N/A,N/A,4,1 4,6,1 6,8,9,1 9,1 4 6,4 8
4 7 8 9,0.0133745,20.8611,Yes,N/A,N/A,N/A,4,N/A,N/A,7,8,9,N/A,4 7,4 8
